Metrics,Description (Detailed)
s_l4_prop_ku,Kurtosis of proportion of occluded and no returns in strata level 4 from origin
s_l5_na_per,Percent of non-ground points occluded in strata  level 5 from origin
s_l5_zero_per,Percent of unreturned non-ground points (true empty space) in strata level 5 from origin
s_l5_prop_mn,Mean proportion of occluded and no returns in strata level 5 from origin
s_l5_prop_sd,Standard deviation of proportion of occluded and no returns in strata level 5 from origin
s_l5_prop_sk,Skewness of proportion of occluded and no returns in strata level 5 from origin
s_l5_prop_ku,Kurtosis of proportion of occluded and no returns in strata level 5 from origin
vox_l1_cnt,Number of TLS points in the entire voxelized point cloud
vox_l1_mean,Mean height of TLS points in the entire voxelized point cloud
vox_l1_median,Median height of TLS points in the entire voxelized point cloud
vox_l1_std,Standard deviation of height of TLS points in the entire voxelized point cloud
vox_l1_tgi,Triangular greenness index of TLS points in the entire voxelized point cloud
vox_l1_vari,Visual atmospheric resistance index of TLS points in the entire voxelized point cloud
vox_l1_skew,Skewness of height of TLS points in the entire voxelized point cloud
vox_l1_kurt,Kurtosis of height of TLS points in the entire voxelized point cloud
TBA,Total basal area of all detected overstory trees calculated from classified stem points in the point cloud
Basalarea,"Total basal area of detected overstory trees corrected for possible occlusion, converted to imperial measurements and scaled to acres"
MeanTH,The mean height of all detected overstory trees in the scan
MDBH,The mean Diameter at breast height (1.37 m) of all detected overstory trees in the scan
TreesN,The number of detected overstory trees in the scan
MaxTH,The height of the tallest detected overstory tree
SDHT,The standard deviation of heights of all the detected overstory trees
CBH,The canopy base height in the scan (currently estimated using the mean tree height minus the standard deviation of tree heights)
LAI,The leaf area index calculated from the entire point cloud
ULAI,The leaf area index calculated from the understory (1-3 m) strata
MLAI,The leaf area index calculated from the midstory (3-9 m) strata
OLAI,The leaf area index calculated from the overstory (>9 m) strata
FHD,"The foliage height diversity (FHD) metric from abundances considered as per-voxel relative LAD values, as described in MacArthur and MacArthur (1961) "
GiSimp,The Gini-Simpson (GS) index metric (Simpson diversity from abundances using voxel relative leaf area density)
LAHV,The leaf area height volume (LAHV) metric as described in Almeida et al. (2019) calculated from the entire point cloud
Gcvol,
USvol,
Msvol,
Osvol,
fuel0_3l1_cnt,Count of points in the 0-3 m high voxelized point clouds with tree stems removed
fuel0_3l1_mean,Mean height of points in the 0-3 m high voxelized point clouds with tree stems removed
fuel0_3l1_median,Median height of points in height strata0-3 m high voxelized point clouds with tree stems removed
fuel0_3l1_std,Standard deviation of the heights of points in the 0-3 m high voxelized point clouds with tree stems removed
fuel0_3l1_tgi,Triangular greenness index of points in the 0-3 m high voxelized point clouds with tree stems removed
fuel0_3l1_vari,Visual atmospheric resistance index of points in the 0-3 m high voxelized point clouds with tree stems removed
fuel0_3l1_skew,Skewness of point heights in the 0-3 m high voxelized point clouds with tree stems removed
fuel0_3l1_kurt,Kurtosis of point heights in the 0-3 m high voxelized point clouds with tree stems removed
shrubs_l1_cnt,Count of points in the Shrub classified voxelized point cloud
shrubs_l1_mean,Mean height of points in the Shrub classified voxelized point cloud
shrubs_l1_median,Median height of points in the Shrub classified voxelized point cloud
