Metrics,Scan Division,Metric type,Raw point cloud/Voxelized point cloud,Description (simplified),Description (Detailed),,,,,,,,,,
h_OS_cnt,>9.0 m height strata,Height strata,Raw,Count of points in height strata,Count of points in height strata >9.0 m of the normalized point cloud,,,,,,,,,,1
h_OS_per,>9.0 m height strata,Height strata,Raw,Percent of points in height strata,Percent of points in height strata >9.0 m of the normalized point cloud,,,,,,,,,,1
h_OS_mean,>9.0 m height strata,Height strata,Raw,Mean height of points in height strata,Mean height of points in height strata >9.0 m of the normalized point cloud,,,,,,,,,,1
h_OS_median,>9.0 m height strata,Height strata,Raw,Median height of points in height strata,Median height of points in height strata >9.0 m of the normalized point cloud,,,,,,,,,,1
h_OS_std,>9.0 m height strata,Height strata,Raw,Standard deviation of points in height strata,Standard deviation of points in height strata >9.0 m of the normalized point cloud,,,,,,,,,,1
h_OS_tgi,>9.0 m height strata,Height strata,Raw,Triangular greenness index of points in height strata,Triangular greenness index of points in height strata >9.0 m of the normalized point cloud,,,,,,,,,,1
h_OS_vari,>9.0 m height strata,Height strata,Raw,Visual atmospheric resistance index of points in height strata,Visual atmospheric resistance index of points in height strata >9.0 m of the normalized point cloud,,,,,,,,,,1
h_OS_skew,>9.0 m height strata,Height strata,Raw,Skewness of point heights in height strata,Skewness of point heights in height strata >9.0 m of the normalized point cloud,,,,,,,,,,1
h_OS_kurt,>9.0 m height strata,Height strata,Raw,Kurtosis of point heights in height strata,Kurtosis of point heights in height strata >9.0 m of the normalized point cloud,,,,,,,,,,1
h_zmax,Entire point cloud,General,Raw,Maximum height of the normalized point cloud,The height of the highest point in the normalized point cloud,,,,,,,,,,1
h_zmean,Entire point cloud,General,Raw,Mean height of the normalized point cloud,The mean height of all points in the normalized point cloud (includes ground points),,,,,,,,,,1
h_zsd,Entire point cloud,General,Raw,Standard deviation of the height of points in the normalized point cloud,The standard deviation of all points in the normalized point cloud (includes ground points),,,,,,,,,,1
h_zskew,Entire point cloud,General,Raw,Skewness of point heights in the point cloud,The skewness of all points in the normalized point cloud (includes ground points),,,,,,,,,,1
h_zkurt,Entire point cloud,General,Raw,Kurtosis of point heights in the point cloud,The kurtosis of all points in the normalized point cloud (includes ground points),,,,,,,,,,1
h_pzabovezmean,Entire point cloud,General,Raw,Percent of points above two standard deviations above the mean height of the point cloud,The percent of points above two standard deviations above the mean height of the normalized point cloud (includes ground points),,,,,,,,,,1
h_pzabove2,Entire point cloud,General,Raw,Percent of points above the mean height of the point cloud,The percent of points above the mean height of the normalized point cloud (includes ground points),,,,,,,,,,1
h_zq5,Quantiles of point cloud,General,Raw,Fifth percentile height of points in the point cloud,The Fifth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq10,Quantiles of point cloud,General,Raw,Tenth percentile height of points in the point cloud,The Tenth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq15,Quantiles of point cloud,General,Raw,Fifteenth percentile height of points in the point cloud,The Fifteenth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq20,Quantiles of point cloud,General,Raw,Twentieth percentile height of points in the point cloud,The Twentieth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq25,Quantiles of point cloud,General,Raw,Twenty-fifth percentile height of points in the point cloud,The Twenty-fifth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq30,Quantiles of point cloud,General,Raw,Thirtieth percentile height of points in the point cloud,The Thirtieth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq35,Quantiles of point cloud,General,Raw,Thirty-fifth percentile height of points in the point cloud,The Thirty-fifth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq40,Quantiles of point cloud,General,Raw,Fortieth percentile height of points in the point cloud,The Fortieth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq45,Quantiles of point cloud,General,Raw,Forty-fifth percentile height of points in the point cloud,The Forty-fifth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq50,Quantiles of point cloud,General,Raw,Fiftieth percentile height of points in the point cloud,The Fiftieth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq55,Quantiles of point cloud,General,Raw,Fifty-fifth percentile height of points in the point cloud,The Fifty-fifth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq60,Quantiles of point cloud,General,Raw,Sixtieth percentile height of points in the point cloud,The Sixtieth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq65,Quantiles of point cloud,General,Raw,Sixty-fifth percentile height of points in the point cloud,The Sixty-fifth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq70,Quantiles of point cloud,General,Raw,Seventieth percentile height of points in the point cloud,The Seventieth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq75,Quantiles of point cloud,General,Raw,Seventy-fifth percentile height of points in the point cloud,The Seventy-fifth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq80,Quantiles of point cloud,General,Raw,Eightieth percentile height of points in the point cloud,The Eightieth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
h_zq85,Quantiles of point cloud,General,Raw,Eighty-fifth percentile height of points in the point cloud,The Eighty-fifth percentile height of points in the point cloud (includes ground points),,,,,,,,,,1
